"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TM4SF1",5.48886364086067e-57,-2.09053510646452,0.301,0.498,1.22055860781819e-52
"RNASE1",7.8580730024073e-56,1.29731644489363,0.554,0.362,1.74739969354531e-51
"ALOX5AP",1.02865964822794e-55,1.37181750200006,0.539,0.357,2.28743045976446e-51
"TMEM100",4.24680205697015e-55,2.0574513477126,0.244,0.062,9.44361373408453e-51
"GRN",1.7321844599479e-54,1.18681098932193,0.708,0.701,3.85185858358614e-50
"RGS5",2.27831152583717e-54,-1.07357697290262,0.026,0.137,5.06628134000412e-50
"ACTA2",4.98715134209063e-54,-1.20288235621018,0.081,0.242,1.10899284394069e-49
"MSLN",1.59401814022884e-52,1.03137074330537,0.185,0.023,3.54461813842688e-48
"EVI2B",2.52151252229842e-52,1.09185378648407,0.448,0.291,5.60708739583499e-48
"IL1RL1",3.06408812354026e-52,1.51321104200044,0.207,0.035,6.81361276031648e-48
"S100A2",5.0990414754157e-52,-1.18378603717123,0.018,0.116,1.13387385288819e-47
"IGLC3",1.46257118025145e-50,-2.81393065322722,0.052,0.186,3.25231953352516e-46
"SFRP2",3.3898895851275e-49,-1.04105967145653,0.015,0.104,7.53809747044801e-45
"COL6A2",7.60549022818945e-49,-1.00736768714532,0.141,0.316,1.69123286204249e-44
"IER2",2.32293225136146e-46,1.00486567252958,0.795,0.731,5.16550444735248e-42
"IFI27",6.08586333887472e-45,1.2676074843643,0.519,0.321,1.35331343066557e-40
"SEPP1",3.17181978768675e-44,1.48339153877134,0.469,0.336,7.05317566187902e-40
"CA4",4.04627433496299e-40,1.04979277273508,0.126,0.008,8.9977002386572e-36
"CD36",5.54502707020122e-34,1.13503517370798,0.266,0.122,1.23304766960064e-29
"ID1",2.98806497218362e-33,1.5849496852592,0.45,0.317,6.64456007864471e-29
"HOPX",5.01843458971382e-32,2.22393187879996,0.274,0.141,1.11594929971466e-27
"KRT7",3.46300174245255e-24,1.17551479660887,0.206,0.09,7.70067697469174e-20
"MT1M",6.66142625604899e-24,1.25177691377614,0.31,0.19,1.48130135655761e-19
"IGFBP5",6.59316962022447e-21,-1.01745141989955,0.107,0.207,1.46612312844932e-16
"CTSL",3.55155080977591e-20,-1.39356594834876,0.465,0.597,7.8975835356987e-16
"PTGDS",1.36079896227908e-18,-1.14367750281979,0.155,0.262,3.02600865241999e-14
"TIMP3",9.29048228875754e-16,1.14824958217799,0.449,0.384,2.06592454655101e-11
"TAGLN",1.32998877952563e-15,-1.09825064927329,0.238,0.334,2.95749604903115e-11
"SLC9A3R2",1.29385423083053e-14,1.16449588716315,0.295,0.215,2.87714365309786e-10
"FMO2",1.78015488910896e-13,1.0434612890756,0.152,0.084,3.95853042691159e-09
